City,abbreviation,Label,latlong
北京市,京,北京,"[116.46, 39.92]"
天津市,津,天津,"[117.2, 39.13]"
河北省,冀,石家庄,"[114.48, 38.03]"
山西省,晋,太原,"[112.53, 37.87]"
内蒙古自治区,内蒙古,呼和浩特,"[111.65, 40.82]"
辽宁省,辽,沈阳,"[123.38, 41.8]"
吉林省,吉,长春,"[125.35, 43.88]"
黑龙江省,黑,哈尔滨,"[126.63, 45.75]"
上海市,沪,上海,"[121.48, 31.22]"
江苏省,苏,南京,"[118.78, 32.04]"
浙江省,浙,杭州,"[120.19, 30.26]"
安徽省,皖,合肥,"[117.27, 31.86]"
福建省,闽,福州,"[119.3, 26.08]"
江西省,赣,南昌,"[115.89, 28.68]"
山东省,鲁,济南,"[117, 36.65]"
河南省,豫,郑州,"[113.65, 34.76]"
湖北省,鄂,武汉,"[114.31, 30.52]"
湖南省,湘,长沙,"[113, 28.21]"
广东省,粤,广州,"[113.23, 23.16]"
广西壮族自治区,桂,南宁,"[108.33, 22.84]"
海南省,琼,海口,"[110.35, 20.02]"
四川省,川,成都,"[104.06, 30.67]"
贵州省,贵,贵阳,"[106.71, 26.57]"
云南省,云,昆明,"[102.73, 25.04]"
重庆市,渝,重庆,"[106.54, 29.59]"
西藏自治区,藏,拉萨,"[91.11, 29.97]"
陕西省,陕,西安,"[108.95, 34.27]"
甘肃省,甘,兰州,"[103.73, 36.03]"
青海省,青,西宁,"[101.74, 36.56]"
宁夏回族自治区,宁,银川,"[106.27, 38.47]"
新疆维吾尔自治区,新,乌鲁木齐,"[87.68, 43.77]"
香港特别行政区,港,香港,"[114.11, 22.4]"
澳门特别行政区,澳,澳门,"[113.54, 22.2]"
台湾省,台,台北,"[121.546943, 25.045762]"
